sequence_id,species_code,species_name,num_images,num_objects,germinated_count,non_germinated_count,germinated_ratio,split
pg6_2,pg,Pennisetum glaucum,97,970,633,337,0.6525773195876289,train
pg6_3,pg,Pennisetum glaucum,97,970,526,444,0.5422680412371134,train
pg6_4,pg,Pennisetum glaucum,97,970,620,350,0.6391752577319587,train
pg6_5,pg,Pennisetum glaucum,97,1067,648,419,0.6073102155576382,train
pg6_6,pg,Pennisetum glaucum,97,970,717,253,0.7391752577319588,train
pg6_7,pg,Pennisetum glaucum,97,970,680,290,0.7010309278350515,train
pg6_8,pg,Pennisetum glaucum,97,970,519,451,0.5350515463917526,train
pg6_9,pg,Pennisetum glaucum,97,970,708,262,0.7298969072164948,train
pg7_1,pg,Pennisetum glaucum,97,970,501,469,0.5164948453608248,val
pg7_10,pg,Pennisetum glaucum,97,970,576,394,0.5938144329896907,val
pg7_11,pg,Pennisetum glaucum,97,970,689,281,0.7103092783505155,train
pg7_12,pg,Pennisetum glaucum,97,970,510,460,0.5257731958762887,train
pg7_2,pg,Pennisetum glaucum,97,970,604,366,0.622680412371134,train
pg7_3,pg,Pennisetum glaucum,97,970,545,425,0.5618556701030928,train
pg7_4,pg,Pennisetum glaucum,97,970,688,282,0.709278350515464,train
pg7_5,pg,Pennisetum glaucum,97,970,622,348,0.6412371134020619,train
pg7_6,pg,Pennisetum glaucum,97,970,758,212,0.7814432989690722,train
pg7_7,pg,Pennisetum glaucum,97,970,472,498,0.4865979381443299,train
pg7_8,pg,Pennisetum glaucum,97,970,572,398,0.5896907216494846,val
pg7_9,pg,Pennisetum glaucum,97,970,650,320,0.6701030927835051,train
pg8_1,pg,Pennisetum glaucum,97,1164,837,327,0.7190721649484536,test
sc1_1,sc,Secale cereale,95,950,438,512,0.4610526315789474,train
sc1_10,sc,Secale cereale,95,950,451,499,0.4747368421052632,train
sc1_11,sc,Secale cereale,95,950,456,494,0.48,train
sc1_12,sc,Secale cereale,95,950,235,715,0.24736842105263157,train
sc1_2,sc,Secale cereale,95,950,538,412,0.5663157894736842,val
sc1_3,sc,Secale cereale,95,950,473,477,0.4978947368421053,train
sc1_4,sc,Secale cereale,95,950,527,423,0.5547368421052632,train
sc1_5,sc,Secale cereale,95,950,519,431,0.5463157894736842,val
sc1_6,sc,Secale cereale,95,950,490,460,0.5157894736842106,val
sc1_7,sc,Secale cereale,95,950,549,401,0.5778947368421052,train
sc1_8,sc,Secale cereale,95,950,491,459,0.5168421052631579,train
sc1_9,sc,Secale cereale,95,950,455,495,0.4789473684210526,train
sc2_1,sc,Secale cereale,95,950,530,420,0.5578947368421052,train
sc2_10,sc,Secale cereale,95,950,431,519,0.4536842105263158,train
sc2_11,sc,Secale cereale,95,950,412,538,0.4336842105263158,train
sc2_12,sc,Secale cereale,95,950,485,465,0.5105263157894737,train
sc2_2,sc,Secale cereale,95,950,439,511,0.46210526315789474,train
sc2_3,sc,Secale cereale,95,950,395,555,0.41578947368421054,train
sc2_4,sc,Secale cereale,95,950,448,502,0.47157894736842104,train
sc2_5,sc,Secale cereale,95,950,508,442,0.5347368421052632,train
sc2_6,sc,Secale cereale,95,950,590,360,0.6210526315789474,test
sc2_7,sc,Secale cereale,95,950,524,426,0.5515789473684211,train
sc2_8,sc,Secale cereale,95,952,561,391,0.5892857142857143,train
sc2_9,sc,Secale cereale,95,950,423,527,0.44526315789473686,train
sc3_1,sc,Secale cereale,95,950,533,417,0.5610526315789474,train
sc3_10,sc,Secale cereale,95,950,477,473,0.5021052631578947,train
sc3_11,sc,Secale cereale,95,950,326,624,0.3431578947368421,train
sc3_12,sc,Secale cereale,95,950,577,373,0.6073684210526316,train
sc3_2,sc,Secale cereale,95,950,411,539,0.4326315789473684,test
sc3_3,sc,Secale cereale,95,950,342,608,0.36,val
sc3_4,sc,Secale cereale,95,950,409,541,0.4305263157894737,train
sc3_5,sc,Secale cereale,95,950,405,545,0.4263157894736842,test
sc3_6,sc,Secale cereale,95,950,347,603,0.36526315789473685,train
sc3_7,sc,Secale cereale,95,950,422,528,0.4442105263157895,train
sc3_8,sc,Secale cereale,95,950,443,507,0.4663157894736842,test
sc3_9,sc,Secale cereale,95,950,348,602,0.3663157894736842,train
sc4_1,sc,Secale cereale,95,950,445,505,0.46842105263157896,train
sc4_10,sc,Secale cereale,95,950,679,271,0.7147368421052631,train
sc4_11,sc,Secale cereale,95,950,562,388,0.5915789473684211,train
sc4_12,sc,Secale cereale,95,950,472,478,0.4968421052631579,train
sc4_2,sc,Secale cereale,95,950,508,442,0.5347368421052632,val
sc4_3,sc,Secale cereale,95,950,627,323,0.66,val
sc4_4,sc,Secale cereale,95,950,577,373,0.6073684210526316,train
sc4_5,sc,Secale cereale,95,950,565,385,0.5947368421052631,train
sc4_6,sc,Secale cereale,95,950,553,397,0.5821052631578948,train
sc4_7,sc,Secale cereale,95,950,591,359,0.6221052631578947,train
sc4_8,sc,Secale cereale,95,950,486,464,0.511578947368421,train
sc4_9,sc,Secale cereale,95,950,526,424,0.5536842105263158,train
sc5_1,sc,Secale cereale,95,950,654,296,0.6884210526315789,train
sc5_10,sc,Secale cereale,95,950,579,371,0.6094736842105263,test
sc5_11,sc,Secale cereale,95,950,572,378,0.6021052631578947,train
sc5_2,sc,Secale cereale,95,950,580,370,0.6105263157894737,val
sc5_3,sc,Secale cereale,95,950,171,779,0.18,train
sc5_4,sc,Secale cereale,95,950,482,468,0.5073684210526316,train
sc5_5,sc,Secale cereale,95,1045,610,435,0.583732057416268,train
sc5_6,sc,Secale cereale,95,950,592,358,0.6231578947368421,train
sc5_7,sc,Secale cereale,95,950,521,429,0.5484210526315789,train
sc5_8,sc,Secale cereale,95,950,640,310,0.6736842105263158,train
sc6_1,sc,Secale cereale,95,950,626,324,0.6589473684210526,train
sc6_10,sc,Secale cereale,95,950,527,423,0.5547368421052632,train
sc6_11,sc,Secale cereale,95,950,593,357,0.6242105263157894,test
sc6_12,sc,Secale cereale,95,950,378,572,0.39789473684210525,train
sc6_2,sc,Secale cereale,95,950,556,394,0.5852631578947368,train
sc6_3,sc,Secale cereale,95,950,613,337,0.6452631578947369,train
sc6_4,sc,Secale cereale,95,950,389,561,0.4094736842105263,train
sc6_5,sc,Secale cereale,95,950,474,476,0.49894736842105264,train
sc6_6,sc,Secale cereale,95,950,462,488,0.4863157894736842,train
sc6_7,sc,Secale cereale,95,950,556,394,0.5852631578947368,train
sc6_8,sc,Secale cereale,95,950,648,302,0.6821052631578948,test
sc6_9,sc,Secale cereale,95,950,579,371,0.6094736842105263,train
sc7_1,sc,Secale cereale,95,950,305,645,0.32105263157894737,train
sc7_10,sc,Secale cereale,95,950,626,324,0.6589473684210526,train
sc7_11,sc,Secale cereale,95,950,449,501,0.4726315789473684,test
sc7_12,sc,Secale cereale,95,950,420,530,0.4421052631578947,train
sc7_2,sc,Secale cereale,95,950,611,339,0.6431578947368422,train
sc7_3,sc,Secale cereale,95,950,527,423,0.5547368421052632,val
sc7_5,sc,Secale cereale,95,950,529,421,0.5568421052631579,train
sc7_6,sc,Secale cereale,95,950,521,429,0.5484210526315789,train
sc7_7,sc,Secale cereale,95,950,541,409,0.5694736842105264,train
sc7_8,sc,Secale cereale,95,950,472,478,0.4968421052631579,train
sc7_9,sc,Secale cereale,95,950,561,389,0.5905263157894737,train
zm1_1,zm,Zea mays,97,970,214,756,0.22061855670103092,train
zm1_10,zm,Zea mays,97,970,141,829,0.14536082474226805,test
zm1_11,zm,Zea mays,97,970,172,798,0.177319587628866,train
zm1_12,zm,Zea mays,97,970,274,696,0.2824742268041237,test
zm1_2,zm,Zea mays,97,970,86,884,0.088659793814433,train
zm1_3,zm,Zea mays,97,970,237,733,0.2443298969072165,train
zm1_4,zm,Zea mays,97,970,158,812,0.16288659793814433,train
zm1_5,zm,Zea mays,97,970,201,769,0.20721649484536084,val
zm1_6,zm,Zea mays,97,970,264,706,0.2721649484536082,train
zm1_7,zm,Zea mays,97,970,172,798,0.177319587628866,train
zm1_8,zm,Zea mays,97,970,143,827,0.14742268041237114,val
zm1_9,zm,Zea mays,97,970,256,714,0.2639175257731959,train
zm2_1,zm,Zea mays,97,970,298,672,0.30721649484536084,train
zm2_10,zm,Zea mays,97,970,405,565,0.4175257731958763,train
zm2_11,zm,Zea mays,97,970,376,594,0.38762886597938145,train
zm2_12,zm,Zea mays,97,970,299,671,0.3082474226804124,test
zm2_2,zm,Zea mays,97,970,238,732,0.24536082474226803,train
zm2_3,zm,Zea mays,97,970,412,558,0.4247422680412371,train
zm2_4,zm,Zea mays,97,970,329,641,0.3391752577319588,train
zm2_5,zm,Zea mays,97,970,376,594,0.38762886597938145,train
zm2_6,zm,Zea mays,97,970,374,596,0.38556701030927837,test
zm2_7,zm,Zea mays,97,970,263,707,0.2711340206185567,train
zm2_8,zm,Zea mays,97,873,280,593,0.3207331042382589,train
zm2_9,zm,Zea mays,97,970,260,710,0.26804123711340205,train
zm3_1,zm,Zea mays,97,873,183,690,0.20962199312714777,train
zm3_10,zm,Zea mays,97,873,279,594,0.31958762886597936,train
zm3_11,zm,Zea mays,97,970,252,718,0.2597938144329897,train
zm3_12,zm,Zea mays,97,970,238,732,0.24536082474226803,train
zm3_2,zm,Zea mays,97,970,289,681,0.2979381443298969,train
zm3_3,zm,Zea mays,97,970,389,581,0.40103092783505156,train
zm3_4,zm,Zea mays,97,970,474,496,0.488659793814433,val
zm3_5,zm,Zea mays,97,776,382,394,0.49226804123711343,train
zm3_6,zm,Zea mays,97,873,564,309,0.6460481099656358,train
zm3_7,zm,Zea mays,97,970,506,464,0.5216494845360825,train
zm3_8,zm,Zea mays,97,970,201,769,0.20721649484536084,train
zm3_9,zm,Zea mays,97,970,77,893,0.07938144329896907,train
zm4_1,zm,Zea mays,97,776,184,592,0.23711340206185566,val
zm4_10,zm,Zea mays,97,776,208,568,0.26804123711340205,train
zm4_11,zm,Zea mays,97,970,255,715,0.26288659793814434,train
zm4_12,zm,Zea mays,97,970,414,556,0.4268041237113402,train
zm4_2,zm,Zea mays,97,679,233,446,0.3431516936671576,train
zm4_3,zm,Zea mays,97,970,188,782,0.19381443298969073,test
zm4_4,zm,Zea mays,97,776,446,330,0.5747422680412371,train
zm4_5,zm,Zea mays,97,776,150,626,0.19329896907216496,train
zm4_6,zm,Zea mays,97,776,261,515,0.33634020618556704,train
zm4_7,zm,Zea mays,97,970,189,781,0.19484536082474227,train
zm4_8,zm,Zea mays,97,970,134,836,0.13814432989690723,val
zm4_9,zm,Zea mays,97,776,603,173,0.7770618556701031,train
zm5_1,zm,Zea mays,97,970,350,620,0.36082474226804123,train
zm5_10,zm,Zea mays,97,970,231,739,0.2381443298969072,train
zm5_11,zm,Zea mays,97,970,286,684,0.2948453608247423,train
zm5_12,zm,Zea mays,97,970,251,719,0.25876288659793817,train
zm5_2,zm,Zea mays,97,970,199,771,0.20515463917525772,train
zm5_3,zm,Zea mays,97,970,220,750,0.2268041237113402,train
zm5_4,zm,Zea mays,97,970,303,667,0.31237113402061856,train
zm5_5,zm,Zea mays,97,970,305,665,0.31443298969072164,train
zm5_6,zm,Zea mays,97,970,320,650,0.32989690721649484,train
zm5_7,zm,Zea mays,97,970,238,732,0.24536082474226803,train
zm5_8,zm,Zea mays,97,1067,271,796,0.2539831302717901,train
zm5_9,zm,Zea mays,97,970,233,737,0.24020618556701032,train
zm6_1,zm,Zea mays,97,970,278,692,0.2865979381443299,train
zm6_10,zm,Zea mays,97,970,285,685,0.29381443298969073,train
zm6_11,zm,Zea mays,97,970,231,739,0.2381443298969072,train
zm6_12,zm,Zea mays,97,970,136,834,0.1402061855670103,test
zm6_2,zm,Zea mays,97,970,169,801,0.17422680412371133,train
zm6_3,zm,Zea mays,97,970,334,636,0.3443298969072165,train
zm6_4,zm,Zea mays,97,970,156,814,0.16082474226804125,train
zm6_5,zm,Zea mays,97,970,137,833,0.14123711340206185,test
zm6_6,zm,Zea mays,97,970,149,821,0.15360824742268042,train
zm6_7,zm,Zea mays,97,970,269,701,0.277319587628866,test
zm6_8,zm,Zea mays,97,970,315,655,0.3247422680412371,train
zm6_9,zm,Zea mays,97,970,196,774,0.2020618556701031,train
zm7_1,zm,Zea mays,97,970,339,631,0.3494845360824742,train
zm7_10,zm,Zea mays,97,970,165,805,0.17010309278350516,val
zm7_11,zm,Zea mays,97,970,296,674,0.30515463917525776,train
zm7_12,zm,Zea mays,97,970,311,659,0.32061855670103095,train
zm7_2,zm,Zea mays,97,582,39,543,0.06701030927835051,test
zm7_3,zm,Zea mays,97,776,148,628,0.19072164948453607,val
zm7_4,zm,Zea mays,97,970,287,683,0.2958762886597938,train
zm7_5,zm,Zea mays,97,970,68,902,0.07010309278350516,train
zm7_6,zm,Zea mays,97,970,246,724,0.2536082474226804,train
zm7_7,zm,Zea mays,97,970,306,664,0.3154639175257732,train
zm7_8,zm,Zea mays,97,970,284,686,0.2927835051546392,val
zm7_9,zm,Zea mays,97,970,289,681,0.2979381443298969,train
